placeId,name,address,lat,lng,types,category
ChIJlQneC5XzNIgRVpcr91hBivM,El Jefe's Taqueria - Pittsburgh,"3807 Forbes Ave, Pittsburgh, PA 15213, United States",40.4418728,-79.9568444,"restaurant,food,point_of_interest,establishment",restaurant
ChIJCzqyxVbxNIgRkt_SjUXDTyM,Café Momentum Pittsburgh,"268 Forbes Ave, Pittsburgh, PA 15222, United States",40.440186,-80.001392,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ4SrQ-rTzNIgRBCWal8EzERk,Morcilla,"3519 Butler St, Pittsburgh, PA 15201, United States",40.4645245,-79.9660841,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ7eZZsdPxNIgRVbqH4afjZv0,Alta Via,"PPG Place, 2, #150, Pittsburgh, PA 15222, United States",40.4404114,-80.0030895,"restaurant,food,point_of_interest,establishment",restaurant
ChIJWdAveK_2NIgRLTc86K9aJpk,Altius,"1230 Grandview Ave, Pittsburgh, PA 15211, United States",40.4384823,-80.0192857,"restaurant,food,point_of_interest,establishment",restaurant
ChIJk8jCsFfxNIgRMmNkTMues7A,The Warren Bar & Burrow,"245 7th St, Pittsburgh, PA 15222, United States",40.4426117,-79.9998155,"restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJvwEwzVfxNIgROGhy_5YvzPQ,Proper Brick Oven & Tap Room,"139 7th St, Pittsburgh, PA 15222, United States",40.4435416,-80.0002753,"restaurant,bar,food,point_of_interest,establishment",restaurant
ChIJUWs5GN3zNIgRPZqcckSz0q4,Kaya,"2000 Smallman St, Pittsburgh, PA 15222, United States",40.4516523,-79.9844724,"restaurant,food,point_of_interest,establishment",restaurant
ChIJGfCWEFfxNIgRKdud4avVJZk,The Capital Grille,"301 Fifth Ave, Pittsburgh, PA 15222, United States",40.440756,-80.000116,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJ94jpoOLzNIgRJYcVFw-XWSU,Sienna Mercato,"942 Penn Ave, Pittsburgh, PA 15222, United States",40.443966,-79.99641199999999,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJ1QL2R1bxNIgR3zR9Fz4lorg,Meat & Potatoes,"649 Penn Ave, Pittsburgh, PA 15222, United States",40.4431503,-80.0011895,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJLe2gNljxNIgRyIt5PgU3xtk,The Commoner,"620 William Penn Pl, Pittsburgh, PA 15219, United States",40.4415752,-79.996303,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJ2x9UxjDyNIgRAlU-QHejcTs,Zarra's Restaurant,"3887 Bigelow Blvd, Pittsburgh, PA 15213, United States",40.45473399999999,-79.9543154,"bar,restaurant,food,point_of_interest,establishment",restaurant
